ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
983,Recht,Wem steht grundsätzlich das Aneignungsrecht von Wild zu?,dem Jagdausübungsberechtigten,dem Erleger,der unteren Jagdbehörde,1
984,Recht,Dürfen Sie als Jagdpächter in Thüringen am 1. Juni einen gesunden Rotspießer erlegen?,nein,ja,"nur, wenn er bereits verfegt hat",1
985,Recht,"Ein Jagdgast verursacht beim Abtransport eines Stückes Schwarzwild, in grob fahrlässiger Weise, erheblichen Schaden an einem Maisfeld. Welche Aussage ist richtig?",Der Jagdausübungsberechtig te haftet für den Schaden.,Nur der Jagdgast haftet für den Schaden.,Keiner haftet für den Schaden.,1
986,Recht,Wem gehören wildlebende Tiere?,Niemandem. Wild ist herrenlos.,dem Inhaber des Jagdrechts,dem Inhaber des Jagdausübungsrechtsrechts,1
987,Recht,Die Wildschäden welcher Wildart sind nach dem Bundesjagdgesetz nicht ersatzpflichtig?,Hase,Muffelwild,Fasane,1
988,Recht,"Ein Landwirt, dessen Anwesen (umfriedeter Hof) innerhalb eines Gemeinschaftsjagdbezirkes liegt, hat in seinem Hühnerstall einen Steinmarder getötet. Wem steht das Aneignungsrecht zu?",dem Eigentümer,dem Jagdpächter,der Jagdgenossenschaft,1
990,Recht,"Wer ist Jagdausübungsberechtigter in einem Gemeinschaftsjagdbezirk, wenn die Jagdgenossenschaft durch einen angestellten Jäger die Jagd selbst ausübt?",die Jagdgenossenschaft,der angestellte Jäger,die Gemeinde,1
991,Recht,"Welchem der nachgenannten Zwecke dient die Jagdabgabe, die mit der Gebühr für den Jagdschein erhoben wird?",Mit der Jagdabgabe wird der Verwaltungsaufwand der Jagdbehörden abgegolten.,Die Jagdabgabe wird zur Förderung des Jagdwesens verwendet.,Mit der Jagdabgabe werden alle Jagdscheininhaber in Thüringen haftpflichtversichert.,2
992,Recht,Das Hetzen des Hundes auf eine gesunde Hauskatze ist,verboten.,"erlaubt, wenn kein Schuss möglich ist.","nur erlaubt, wenn sich diese mehr als 200 m vom letzten bewohnten Gebäude aufhält.",1
994,Recht,Nennen Sie die gesetzliche Jagdzeit für einjährige weibliche Rehe in Thüringen?,vom 1. September bis 15. Januar,vom 1. Mai bis 16. Oktober,vom 1. April bis 15. Januar,3
995,Recht,Können juristische Personen Jagdgenosse sein?,"Ja, wenn sie Grundeigentümer sind.","Nein, nur natürliche Personen können Jagdgenosse sein.","Ja, aber nur, wenn sie der Notvorstand dazu beruft.",1
996,Recht,In welche Gruppen unterteilt das Bundesjagdgesetz die jagdbaren Tierarten?,Haarwild und Federwild mit Zuordnung zum Schalenwild sowie zum Hoch- und Niederwild,"Schalenwild, Raubwild, Raubzeug und Wasserwild","Cerviden, Boviden und Vögel",1
997,Recht,Welche Wildart darf vorbehaltlich des § 22 Abs. 4 Bundesjagdgesetz in Thüringen nicht ganzjährig bejagt werden?,Steinmarder,Sumpfbiber,Marderhund,1
998,Recht,Das Erlegen eines Alttieres vor dem Kalb im Juli ist:,eine Straftat,zulässig,eine Ordnungswidrigkeit,1
999,Recht,Welche Funktion hat ein Jagdberater nach dem Thüringer Jagdgesetz?,Er berät die untere Jagdbehörde.,Er berät die Jagdgenossenschaft.,Er berät den Landesjagdverband Thüringen e. V.,1
1000,Recht,Wo muss festgestellter Wildschaden angemeldet werden?,Bei der zuständigen unteren Jagdbehörde.,Bei der unteren Forstbehörde.,Bei der zuständigen Gemeinde.,3
1001,Recht,Sie erlegen in einem Weizenschlag einen Rehbock. Bei der Bergung vernichten Sie mit ihrem Fahrzeug ein Teil der künftigen Weizenernte. Um was handelt es sich aus jagdrechtlicher Sicht?,Wildschaden,kein Schaden,Jagdschaden,3
1002,Recht,In welchem Zeitraum ist im Freistaat Thüringen die Jagd auf Rotwildkälber erlaubt?,16. Juni bis 15. Januar,1. September bis 15. Januar,1. August bis 15. Januar,3
1003,Recht,Ein Bauer fängt in seinem an das Wohnhaus angrenzenden eingezäunten Garten ein Wildkaninchen. Darf er es töten und sich aneignen?,"Ja, aber nur, wenn der Jagdpächter des dortigen Jagdbezirkes zustimmt.","Ja, wenn er im Fangen und Töten von Wirbeltieren sachkundig ist.","Nein, das ist jagdrechtlich nicht zulässig.",2
1004,Recht,Bei einer Drückjagd im Rotwildeinstandsgebiet werden u. a. Hirsche der Klasse 3 und 2 sowie Kahlwild für alle Jäger freigegeben. Bei Ihnen wechselt auf gute Schussentfernung ein Eissprossenzehner vom 4. Kopf an. Dürfen Sie diesen Hirsch erlegen?,"Ja, aber nur, wenn es sich um einen Hegeabschuss handelt.",Nein.,Ja.,3
1005,Recht,"Kann der Eigentümer einer land-, forstoder fischereiwirtschaftlich nutzbaren Fläche, die in einem gemeinschaftlichen Jagdbezirk liegt, die Mitgliedschaft in der Jagdgenossenschaft beenden?","Nein, es handelt sich um eine rechtliche Zwangsmitgliedschaft.","Ja, wenn er seine Grundstücke einzäunt.","Ja, wenn er auf Grundlage des § 6a Bundesjagdgesetz seine Fläche befrieden lässt.",3
1006,Recht,Wer bestätigt oder setzt den Abschussplan für einen gemeinschaftlichen Jagdbezirk fest?,Die Hegegemeinschaft.,Die untere Forstbehörde.,Die untere Jagdbehörde.,3
1007,Recht,Wann beginnt für den Jäger die Beurteilung des Wildes auf gesundheitlich bedenkliche Merkmale?,Beim Aufbrechen,Beim Zerwirken,Bei der Beobachtung des Wildes vor der Schussabgabe,3
1020,Recht,"In Ihrem Jagdbezirk beobachten Sie, wie eine um Hilfe rufende Frau versucht, sich gegen den Angriff eines Mannes zu wehren. Welche der nachgenannten Aussagen sind richtig?","Es handelt sich um eine Notwehrsituation. Sie handeln straffrei, wenn Sie der Frau helfen den Angriff abzuwehren. Hierbei setzen Sie das am wenigsten schädliche oder gefährliche geeignete Mittel ein.","Es handelt sich nicht um eine Notwehrsituation, da sich der Angriff des Mannes nicht gegen Sie richtet.","Sie dürfen Ihre Jagdwaffe nur zur befugten Jagdausübung führen, nicht aber in einer Notwehrsituation. Sie verstauen zunächst Ihre Jagdwaffe ordnungsgemäß und helfen im Anschluss der bedrängten Frau.",1
1022,Recht,Welche der nachgenannten Büchsenpatronen sind für die Jagd auf Rehwild zulässig?,"5,6 x 50 R Magnum",.22 Hornet,.22 Winchester Magnum,1
1023,Recht,"Welche der nachgenannten Patronen dürfen Sie verwenden, um mit einer Flinte Schalenwild zu erlegen?",Patronen mit Flintenlaufgeschossen,Patronen mit Posten,Patronen mit Würfelschrote,1
1181,Recht,Wie viele Jäger dürfen in Thüringen Jagdpächter in einem Jagdbezirk von 250 ha Größe sein?,nicht mehr als 1 Jäger,nicht mehr als 2 Jäger,bis zu 3 Jäger,2
57,"Waffenkunde, Waffenrecht","Was bedeutet das ""R"" in der Kaliberbezeichnung 7 x 57 R?",Patrone mit Scharfrand Geschoss,Hülse mit Rand,Randfeuerzündung,2
58,"Waffenkunde, Waffenrecht",Was wird beim amtlichen Beschuss einer Waffe geprüft?,die Schussleistung,die Haltbarkeit des Laufes und des Verschlusses,das Treffergebnis,2
59,"Waffenkunde, Waffenrecht",Was verstehen Sie unter dem Begriff Abkommen?,Zielstachel beim Zielfernrohr,seitliche Geschossabweichung durch Windeinfluss,Zielpunkt beim Auslösen des Schusses,3
60,"Waffenkunde, Waffenrecht",Was versteht der Jäger unter Schränkung bei Jagdwaffen?,den Winkel des Patronenlager-Übergangskegels,die seitliche Ausbiegung des Schaftes von der Längsachse des Gewehres,die Treffpunktlagenabweichung von zwei aufeinanderfolgenden Büchsenschüssen,2
61,"Waffenkunde, Waffenrecht","Bei der letzten Jagd auf Schwarzwild haben Sie festgestellt, dass Ihnen die Fertigkeiten des Flüchtigschießens fehlen. Dürfen Sie in Ihrem Jagdbezirk ein Übungsschießen vornehmen?","Ja, aber nur wenn ein weiterer Jäger den Hintergrund beobachtet.","Ja, denn das Übungsschießen gehört zu dem vom Jagdgesetz erlaubten An- und Einschießen der Jagdwaffe im Jagdbezirk.","Nein, ein Übungsschießen darf nur auf zugelassenen Schießständen erfolgen.",3
62,"Waffenkunde, Waffenrecht","In welcher Schrotpatrone der Schrotstärke 3,5 mm befinden sich bei gleicher Hülsenlänge die wenigsten Schrotkugeln?",Kaliber 20,Kaliber 16,Kaliber 12,1
63,"Waffenkunde, Waffenrecht",Was versteht man bei den Büchsenwaffen unter einem Stutzen?,Kurzläufige Büchse mit Vollschaft,Bockbüchse mit kleinem und großem Kugellauf,Langläufige Büchse für die Jagd im Hochgebirge,1
64,"Waffenkunde, Waffenrecht",Was bewirkt ein Herausdrehen der Stecherschraube?,Verminderung des Abzugswiderstandes,Erhöhung des Abzugswiderstandes,Arretieren des Stecherabzuges,2
65,"Waffenkunde, Waffenrecht","Wie hoch muss die Mündungsenergie eines Geschosses mindestens sein, um mit einer Kurzwaffe einen Fangschuss auf krankes Schalenwild abgeben zu dürfen?",100 Joule,200 Joule,500 Joule,2
67,"Waffenkunde, Waffenrecht",Welches Kaliber in Millimeter hat die Patrone .222 Remington?,"5,6 mm","6,5 mm","7,0 mm",1
68,"Waffenkunde, Waffenrecht","Welche Langwaffe hat zwei aufgebockte Läufe, ohne dass dies aus der Bezeichnung hervorgeht?",Büchsflinte,Bergstutzen,Waldläuferstutzen,2
69,"Waffenkunde, Waffenrecht",Bei der Langwaffe entsteht der höchste Gasdruck,unmittelbar vor der Laufmündung,ungefähr in der Mitte des Laufes,im Bereich des Patronenlagers,3
70,"Waffenkunde, Waffenrecht","Was ist richtig, wenn Sie beim Laufen mit der Langwaffe einen Zaun übersteigen?",Die Waffe darf geladen sein.,Die Waffe muss immer entladen sein.,Die Waffe darf nur im Rahmen der Nachsuche geladen bleiben.,2
72,"Waffenkunde, Waffenrecht",Welche Vorteile hat der freiliegende Büchsenlauf einer kombinierten Waffe?,Die Wärmespannungen können die Treffpunktlage nicht beeinflussen.,Es treten keine Laufschwingungen bei der Schussabgabe auf.,Der Lauf lässt sich besser reinigen.,1
73,"Waffenkunde, Waffenrecht",Wie sind die Langwaffen am Sammelplatz und auf dem Weg zum Treiben zu tragen?,"Kipplaufwaffen immer abgekippt, Repetierer mit sichtbar offenem Verschluss","Kipplaufwaffen abgekippt, Repetierer gesichert, Lauf nach oben",Kipplaufwaffen und Repetierer mit Lauf nach unten und entladen,1
74,"Waffenkunde, Waffenrecht",Was ist beim Führen von feststehenden Messern mit einer Klingenlänge von über 12 cm sowie von Einhandmessern außerhalb eines damit in Zusammenhang stehenden Bedürfnisses oder berechtigten Interesses zu beachten?,Solche Messer können von jedem zu beliebigen Zwecken zugriffsbereit geführt werden.,Der Transport solcher Messer hat nicht zugriffsbereit zu erfolgen.,Das Führen von Einhandmessern ist generell verboten.,2
75,"Waffenkunde, Waffenrecht",Bei einem Rückstecher handelt es sich um eine Abzugsvorrichtung ...,"mit zwei Abzügen, von denen der hintere Abzug zurückgedrückt werden muss, um die Waffe einzustechen.","mit nur einem Abzug, der nach vorne gedrückt werden muss, um die Waffe einzustechen.","bei der man einen Schieber auf dem Kolbenhals nach vorne schieben muss, um die Waffe einzustechen.",2
76,"Waffenkunde, Waffenrecht","Wie kontrollieren Sie am sichersten, ob sich Patronen in einem Drilling befinden?",durch Öffnen der Waffe,durch Kontrollieren der Stellung der Abzüge,durch Kontrollieren der Signalstifte,1
77,"Waffenkunde, Waffenrecht",Welche Aussage ist richtig?,Langwaffen haben eine Lauflänge von über 60 cm.,Kurzwaffen haben eine Gesamtlänge von über 30 cm.,Als Langwaffen gelten Waffen von über 60 cm Gesamtlänge.,3
78,"Waffenkunde, Waffenrecht",Wo sollte man als Jäger seinen Waffenschrank dauerhaft aufstellen?,In seinem Büro im Industriegebiet,"In der Wohnung, in der er ständig wohnt",In seiner PKW-Garage abseits der Wohnung,2
79,"Waffenkunde, Waffenrecht",Welche Sicherheitsstufe muss der Waffenschrank zur Aufbewahrung von Kurzwaffen mindestens besitzen?,Sicherheitsstufe S2 nach EN 14450,Sicherheitsstufe 0 nach EN 1143-1,Sicherheitsstufe B nach VDMA 24992,2
80,"Waffenkunde, Waffenrecht",Welches Merkmal kennzeichnet den Lauf einer Flinte?,Züge und Felder,Laufinnenseite ist immer glatt,wird an der Mündung immer weiter,2
84,"Waffenkunde, Waffenrecht",Welche Kurzwaffenmunition kann ein Jagdscheininhaber kaufen?,Nur Kurzwaffenmunition dessen Kaliber in seiner Waffenbesitzkarte eingetragen ist,Kurzwaffenmunition in jedem Kaliber,Kurzwaffenmunition bei der das Haltbarkeitsdatum noch nicht abgelaufen ist,1
85,"Waffenkunde, Waffenrecht",Wie lange gilt eine in die Waffenbesitzkarte eingetragene Erlaubnis zum Erwerb eines Revolvers?,zeitlich unbegrenzt,1 Jahr,3 Jahre,2
86,"Waffenkunde, Waffenrecht",Ist das nichtgewerbsmäßige Wiederladen von Patronenhülsen erlaubnispflichtig?,"Ja, es bedarf einer Erlaubnis nach dem Waffengesetz.","Ja, es bedarf einer Erlaubnis nach dem Sprengstoffgesetz.","Nein, weil der Jäger bereits durch das bestehen der Jägerprüfung dazu befähigt ist.",2
88,"Waffenkunde, Waffenrecht",Wie hat ein Jäger mit dem PKW die Langwaffe auf dem Weg zum Schießplatz oder zum Büchsenmacher zu transportieren?,Waffe unterladen im Kofferraum,Waffe entladen im verschlossenem Futteral und getrennt von der Munition,Waffe entladen auf dem Beifahrerseitz,2
89,"Waffenkunde, Waffenrecht",Als Mindeststandard für die Aufbewahrung von Munition gilt:,ein Stahlblechbehältnis mit Schwenkriegelschloss,eine stabile Aluminiumkiste mit Stiftoder Vorhängeschloss,"ein abschließbarer Hartschalenkoffer aus Kunststoff, der für den Transport von Schusswaffen geeignet ist",1
96,"Waffenkunde, Waffenrecht","Welchen der nachgenannten Einschränkungen unterliegt der Jagdausübungsberechtigte, der in Jagdausrüstung befugt einen Jägernotweg benutzt?",Langwaffen dürfen nur ungeladen mitgeführt werden.,Die Waffe darf nur im Futteral mitgeführt werden.,Die Waffe darf nur ungeladen und in einem Überzug mitgeführt werden.,3
123,"Waffenkunde, Waffenrecht","Nach Erteilung Ihres Jahresjagdscheins wollen Sie als Erstausrüstung einen Drilling, eine Bockbüchsflinte und eine Doppelflinte erwerben. Welches Dokument müssen Sie beim Kauf vorlegen?",Jägerprüfungszeugnis,Jagdschein,Waffenbesitzkarte,2
126,"Waffenkunde, Waffenrecht","Innerhalb welcher Frist müssen Inhaber eines gültigen Jahresjagdscheins die Ausstellung einer Waffenbesitzkarte oder die Eintragung der Waffe in eine bereits erteilte Waffenbesitzkarte beantragen, wenn sie die Waffe auf Dauer erwerben (kaufen)?",Innerhalb einer Woche,Innerhalb von zwei Wochen,Innerhalb eines Monats,2
127,"Waffenkunde, Waffenrecht","Wie viele Kurzwaffen darf eine Person, die noch keine Kurzwaffe besitzt, mit gültigem Jahresjagdschein, erwerben, ohne dafür ein besonderes Bedürfnis bei der zuständigen Behörde nachweisen zu müssen?",3 Kurzwaffen,2 Kurzwaffen,5 Kurzwaffen,2
353,"Waffenkunde, Waffenrecht","Wie bezeichnet man diejenige Verteidigung, die erforderlich ist, um einen gegenwärtigen, rechtswidrigen Angriff von sich oder einem anderen abzuwehren?",Notstand,Notwehr,Faustrecht,2
894,"Waffenkunde, Waffenrecht",Welche der nachgenannten Aussagen ist richtig?,Die Verurteilung aufgrund einer Straftat gegen tierschutzrechtliche Vorschriften kann zum Entzug des Jagdscheins führen.,Die Verurteilung aufgrund einer Straftat gegen tierschutzrechtliche Vorschriften kann nicht zum Entzug des Jagdscheins führen.,Lediglich waffenrechtliche Verstöße führen zum Entzug des Jagdscheines.,1
993,"Waffenkunde, Waffenrecht",Ist der Jagdscheininhaber berechtigt seine Waffen auf direktem Weg von seinem Wohnort zu seinem Jagdbezirk zu führen?,"Ja, jedoch nicht schussbereit.","Ja, aber nur wenn er über einen auf diese Waffen ausgeschriebenen Waffenschein verfügt.","Nein, die Waffen sind nicht zugriffsbereit und schussbereit, lediglich zu transportieren.",1
1010,"Waffenkunde, Waffenrecht",Benötigt der Inhaber eines gültigen Jagdscheins zum Erwerb der ersten Langwaffe eine Waffenbesitzkarte?,Ja,Nein,"Ja, aber nur bei kombinierten Waffen",2
1011,"Waffenkunde, Waffenrecht",Innerhalb welcher Frist haben Jagdscheininhaber das Abhandenkommen ihrer Jagdwaffe der zuständigen Behörde anzuzeigen?,Innerhalb eines Monats,Innerhalb zwei Wochen,Unverzüglich,3
1012,"Waffenkunde, Waffenrecht","Ein Jagdscheininhaber besitzt einen Drilling, der in seiner Waffenbesitzkarte (WBK) eingetragen ist. Benötigt er zum Erwerb eines Einstecklaufes für diesen Drilling einen entsprechenden waffenrechtlichen Voreintrag in seiner WBK?",Ja,Nein,"Nein, aber eine gesonderte Erwerbsberechtigung.",2
1013,"Waffenkunde, Waffenrecht","Innerhalb welcher Frist müssen Inhaber eines gültigen Jahresjagdscheins die Ausstellung einer Waffenbesitzkarte oder die Eintragung der Waffe in eine bereits erteilte Waffenbesitzkarte beantragen, wenn sie einen Drilling auf Dauer erwerben (kaufen)?",Innerhalb einer Woche,Innerhalb von zwei Wochen,Innerhalb eines Monats,2
1014,"Waffenkunde, Waffenrecht",Ein Jagdscheininhaber veräußert auf Dauer (verkauft) seine Doppelflinte an eine Person mit einem gültigen Jahresjagdschein. Was muss der Überlasser daraufhin veranlassen?,Überlassungsanzeige innerhalb eines Monats bei seiner zuständigen Behörde,Überlassungsanzeige innerhalb zwei Wochen bei seiner zuständigen Behörde,Mitteilung an die Waffenbehörde des Erwerbes binnen 4 Wochen,2
1015,"Waffenkunde, Waffenrecht",Wie lange gilt (vorbehaltlich Widerruf oder Rücknahme) in der Regel die in die Waffenbesitzkarte eingetragene Erlaubnis zum Besitz einer Waffe?,1 Jahr,Zeitlich unbegrenzt,10 Jahre,2
1016,"Waffenkunde, Waffenrecht",Welche waffenrechtliche Aussage ist richtig?,Inhaber gültiger Jahresjagdscheine bedürfen zum Erwerb von Langwaffen eines Voreintrags in ihrer Waffenbesitzkarte.,Unter dem Führen einer Waffe wird rechtlich die Ausübung der tatsächlichen Gewalt über die Waffe verstanden.,Inhaber gültiger Jahresjagdscheine bedürfen zum Erwerb und Besitz einer halbautomatischen Langwaffe eines Voreintrags in ihrer Waffenbesitzkarte.,2
1017,"Waffenkunde, Waffenrecht","Ist eine Person mit gültigem Jahresjagdschein und einer Waffenbesitzkarte, in die sein Revolver eingetragen ist, berechtigt, den Revolver bei Spaziergängen in einem fremden Jagdbezirk uneingeschränkt zu führen?",Ja.,Nein.,"Ja, aber nur wenn er Jagdaufseher ist.",2
1018,"Waffenkunde, Waffenrecht",Benötigen Sie zum Ein- oder Anschießen Ihrer Jagdwaffe im eigenen Jagdbezirk eine besondere waffenrechtliche Erlaubnis?,Nur für das Einschießen,Es ist keine besondere waffenrechtliche Erlaubnis notwendig,Nur für das Anschießen,2
1026,"Waffenkunde, Waffenrecht","Während ihrer Abwesenheit, möchten Mitarbeiter der unteren Waffenbehörde die Aufbewahrung Ihrer Waffen prüfen. Muß Ihr Mitbewohner, der keine waffenrechtliche Erlaubnis hat, die Mitarbeiter der Waffenbehörde gewähren lassen?","Ja, denn auch hier besteht eine Mitwirkungspflicht.","Ja, denn sonst entsteht ein Verdachtsmoment.","Nein, es besteht keine Mitwirkungspflicht für den Mitbewohner.",3
1027,"Waffenkunde, Waffenrecht","Welches Dokument außer dem Jagdschein muss ein Jagdausübender bei sich tragen, wenn er die Jagd mit einem ausgeliehenen Drilling ausübt?",Personalausweis bzw. Reisepass und den Nachweis der Waffenüberlassung,die eigene Waffenbesitzkarte und die Waffenbesitzkarte der ausleihenden Person,der Jagdschein ist ausreichend,1
1028,"Waffenkunde, Waffenrecht",Dürfen Sie während einer Gesellschaftsjagd einem anderen Jäger mit Schrotpatronen aushelfen?,nur mit Zustimmung des Jagdleiters,nein,ja,3
1029,"Waffenkunde, Waffenrecht","Bei welcher der nachgenannten Waffen ist ein ""Doppeln"" möglich?",Repetierbüchse,Drilling,Büchse mit Blockverschluss,2
1030,"Waffenkunde, Waffenrecht",Bei welcher der nachgenannten Waffen sind Flintenabzüge gebräuchlich?,Nur bei Flinten,Bei Büchsen und Flinten,Nur bei Büchsen,2
1031,"Waffenkunde, Waffenrecht","Welche der aufgeführten Waffenarten hat ein Magazin, von dem aus eine Patrone direkt ins Patronenlager befördert wird?",Büchsen mit Blockverschluss,Repetierbüchsen,Kipplaufgewehre,2
1032,"Waffenkunde, Waffenrecht",Welche der nachgenannten Waffen muss zum Laden bzw. Entladen abgekippt (gebrochen) werden?,Blockbüchse,Bergstutzen,Repetierbüchse,2
1033,"Waffenkunde, Waffenrecht",Welche der nachgenannten Sicherungen ist die zuverlässigste?,Stangensicherung,Schlagbolzensicherung,Abzugssicherung,2
1034,"Waffenkunde, Waffenrecht",Welche der nachgenannten Sicherungen ist bei Kipplaufwaffen gebräuchlich?,Flügelsicherung,Schiebesicherung,Druckknopfsicherung,2
1035,"Waffenkunde, Waffenrecht",Welches der nachgenannten Sicherheitssysteme an Kipplaufgewehren bietet gegen eine unbeabsichtigte Schussauslösung die größere Sicherheit?,automatische Sicherung,Spannschieber (Schiebesicherung),Fangstangen-Seitenschloss-Sicherung,2
1036,"Waffenkunde, Waffenrecht",Welche der nachgenannten Aufgaben haben die Züge und Felder im Lauf?,Vergrößerung des Schusskanals im Wildkörper,Drehung des Geschosses zur Stabilisierung der Flugbahn,Erhöhung der Auftreffenergie,2
1037,"Waffenkunde, Waffenrecht",Wodurch erhält das Geschoss den Drall im Büchsenlauf?,Durch den Aufbau des Geschossmantels,Durch die Züge und Felder,Durch die Würgebohrung,2
1038,"Waffenkunde, Waffenrecht",Wo befindet sich das Patronenlager einer Repetierbüchse?,Unter der Kammer,Im hintersten Abschnitt der Laufbohrung = Im Lauf,Im Verschluss,2
1039,"Waffenkunde, Waffenrecht",Bei welcher der nachgenannten Waffen befindet sich das Patronenlager nicht im Lauf?,Repetierer,Revolver,Pistole,2
1040,"Waffenkunde, Waffenrecht",Um welche Art von Abzugsvorrichtung handelt es sich bei einem Rückstecher?,"Um eine Abzugsvorrichtung mit zwei Abzügen, von denen der hintere Abzug zurückgedrückt werden muss, um die Waffe einzustechen","Um eine Abzugsvorrichtung mit nur einem Abzug, der nach vorne gedrückt werden muss, um die Waffe einzustechen","Um eine Abzugsvorrichtung, bei der man einen Schieber auf dem Kolbenhals nach vorne schieben muss, um die Waffe einzustechen",2
1041,"Waffenkunde, Waffenrecht",Wo befindet sich die Choke-Bohrung (Würgebohrung) bei Flinten?,In der Mitte des Laufes,In der Nähe der Laufmündung,Am Patronenlager,2
1042,"Waffenkunde, Waffenrecht",Bei welchem Flintenkaliber ist der Durchmesser des Laufes am größten?,Bei Kaliber 20,Bei Kaliber 12,Bei Kaliber 16,2
1043,"Waffenkunde, Waffenrecht",Wo befinden sich an einer Flinte die Angaben über Kaliber und Bohrung des Patronenlagers für 65 bzw. 70 mm?,An der Basküle,An den Läufen (Unterseite),Am Schaft,2
1044,"Waffenkunde, Waffenrecht",Was bezweckt die Choke-Bohrung (Würgebohrung)?,Bessere Durchschlagskraft für Flintenlaufgeschosse,Beeinflussung der Schrotgarbenstreuung,Drehung der Schrotkörner,2
1045,"Waffenkunde, Waffenrecht",Was versteht man unter einer Selbstspannerflinte?,"Eine Flinte, welche durch das Betätigen des Abzuges (Spannabzug) sich selbst spannt","Eine Flinte, welche durch das Abkippen der Läufe gespannt wird","Eine Flinte, die sich durch den Rückstoß des vorangegangenen Schusses selbst spannt",2
1046,"Waffenkunde, Waffenrecht",Was versteht man unter einer Selbstladeflinte?,"Eine Flinte, aus der nur selbstgeladene Patronen verschossen werden","Eine Flinte, die nach dem Schuss die leere Patronenhülse automatisch auswirft und die neue Patrone sofort wieder lädt","Eine Flinte, bei der nach jedem Schuss selbst nachgeladen werden muss",2
1047,"Waffenkunde, Waffenrecht",Wozu dient ein Ejektor?,Zur Verminderung des Rückstoßes,Zum Auswerfen der leeren Patronenhülsen,Zum Anbringen der automatischen Sicherung,2
1048,"Waffenkunde, Waffenrecht",Welches der nachgenannten Verschlusssysteme findet bei Doppelflinten Verwendung?,Blockverschluss,Zylinderverschluss,Greener-Verschluss (Querriegelverschluss),3
1049,"Waffenkunde, Waffenrecht","Was wird unter ""doppeln"" verstanden?",Das Treffen von zwei Füchsen mit einem Schuss,Schnell aufeinanderfolgendes Betätigen beider Abzüge bei einer Flinte,Das gleichzeitige Lösen von zwei Schüssen,3
1050,"Waffenkunde, Waffenrecht",Welche der nachgenannten Waffen gehört zu den kombinierten Waffen?,Bockflinte,Bergstutzen,Büchsflinte,3
1051,"Waffenkunde, Waffenrecht",Welche Laufzusammenstellung und Anordnung hat eine Büchsflinte?,Zwei Kugelläufe nebeneinander.,Ein Kugel- und ein Schrotlauf liegen übereinander.,Ein Kugel- und ein Schrotlauf liegen nebeneinander.,3
1052,"Waffenkunde, Waffenrecht",Welches der nachgenannten Verschlusssysteme findet vornehmlich bei Bockbüchsflinten Verwendung?,Blockverschluss,Zylinderverschluss,Kersten-Verschluss (doppelter Querriegelverschluss),3
1053,"Waffenkunde, Waffenrecht",Welche Stecherart hat in der Regel ein Drilling?,Deutscher Stecher,Drillinge haben grundsätzlich keinen Stecher,Rückstecher,3
1054,"Waffenkunde, Waffenrecht",Sie besitzen eine Selbstspanner-Bockbüchsflinte mit zwei Abzügen und Stechervorrichtung. Bei welchem Abzug ist die Stechervorrichtung in der Regel eingebaut?,Im hinteren Abzug,In beiden Abzügen,Im vorderen Abzug,3
1055,"Waffenkunde, Waffenrecht",Was bedeutet die Patronenbezeichnung 8 x 57 IS?,"Hülsenlänge 8 cm, Kaliber 0,57 Zoll, Patrone mit Rand, Infanterie Sondermaß","Hülsenlänge 8 cm, Kaliber 0,57 Zoll, Randfeuerpatrone, Infanterie Schwach","Kaliber 8 mm, Hülsenlänge 57 mm, Patrone ohne Rand, Infanterie Stark",3
1056,"Waffenkunde, Waffenrecht",Welche der nachgenannten Büchsenpatronen hat den stärkeren Kaliberdurchmesser?,8 x 57 IR,8 x 57 I,8 x 57 IRS,3
1057,"Waffenkunde, Waffenrecht",Lassen sich in einem Repetierer mit Kaliber 7 x 57 auch Patronen des Kalibers 8 x 57 verschießen?,Ja,"Ja, nur mit verstärktem Beschuss",Nein,3
1059,"Waffenkunde, Waffenrecht",Anhand welcher Merkmale unterscheiden sich die Patronen 7 x 57 R und 7 x 57?,Die Patrone 7 x 57 R hat eine Randfeuerzündung,An der Hülsenlänge,Die Patrone 7 x 57 R hat am Hülsenboden einen Rand,3
1060,"Waffenkunde, Waffenrecht",Welche der nachgenannten Patronen ist für die Verwendung in Repetiergewehren bestimmt?,8 x 57 IRS,7 X 65 R,8 x 57 IS,3
1061,"Waffenkunde, Waffenrecht",Hat jede Patrone mit Rand auch Randfeuerzündung?,Ja,"Nein, nur die Kurzwaffenmunition",Nein,3
1063,"Waffenkunde, Waffenrecht",Was sind Randfeuerpatronen?,Patronen aus einer auslaufenden Serie,Patronen mit Rand (z. B. 7 x 57 R),"Patronen ohne Zündhütchen, die Zündmasse befindet sich im Rand des Patronenbodens",3
1064,"Waffenkunde, Waffenrecht",Welches Kaliber in Millimeter hat die Patrone .222 Remington?,"6,59 mm","7,20 mm","5,69 mm",3
1065,"Waffenkunde, Waffenrecht","Worauf bezieht sich der Begriff ""Rasanz"" in der Ballistik?",Auf das Geschossgewicht,Auf die Auftreffwucht des Geschosses auf den Wildkörper,Auf die Krümmung der Geschossflugbahn,3
